 status Perkawinan;Kursus;Kehadiran siang/malam;Kualifikasi sebelumnya;Kualifikasi sebelumnya(Nilai);Kualifikasi Ibu;Kualifikasi Ayah;Pekerjaan Ibu;Pekerjaan Ayah ;Nilai Penerimaan ;Pendidikan Khusus;Biaya Kuliah terkini ;Gender;Pemegang beasiswa;Usia saat pendaftaran;Unit kurikulum semester1 (dikreditkan);Unit kurikulum semester1 (Terdaftar);Unit kurikulum semester1 (Evaluasi);Unit kurikulum semester1 (Disetujui );Unit kurikulum semester1 (Kelas);Unit kurikulum semester1 (Tanpa  evaluasi);Unit kurikuler semester2(dikreditkan);Unit kurikuler semester2(Terdaftar);Unit kurikuler semester2(Evaluasi);Unit kurikuler semester2(Disetujui);Curricular units 2nd sem (grade);Unit kurikuler semester2(Tanpa evaluasi);tingkat Pengangguran;Tingkat inflasi;GDP;Target
1;171;1;1;122.00.00;19;12;5;9;127.03.00;0;1;1;0;20;0;0;0;0;00.00;0;0;0;0;0;00.00;0;10.08;01.04;0,093055556;Dropout
1;9254;1;1;160.00.00;1;3;3;3;142.05.00;0;0;1;0;19;0;6;6;6;14.00;0;0;6;6;6;13.666.666.666.666.600;0;13.09;-0.3;0,054861111;Graduate
1;9070;1;1;122.00.00;37;37;9;9;124.08.00;0;0;1;0;19;0;6;0;0;00.00;0;0;6;0;0;00.00;0;10.08;01.04;0,093055556;Dropout
1;9773;1;1;122.00.00;38;37;5;3;119.06.00;0;1;0;0;20;0;6;8;6;13.428.571.428.571.400;0;0;6;10;5;12.04;0;09.04;-0.8;-3.12;Graduate
2;8014;0;1;100.00.00;37;38;9;9;141.05.00;0;1;0;0;45;0;6;9;5;12.333.333.333.333.300;0;0;6;6;6;13.00;0;13.09;-0.3;0,054861111;Graduate
2;9991;0;19;133.01.00;37;37;9;7;114.08.00;0;1;1;0;50;0;5;10;5;11.857.142.857.142.800;0;0;5;17;5;11.05;5;16.02;00.03;-0.92;Graduate
1;9500;1;1;142.00.00;19;38;7;10;128.04.00;0;1;0;1;18;0;7;9;7;13.03;0;0;8;8;8;14.345;0;15.05;02.08;-4.06;Graduate
1;9254;1;1;119.00.00;37;37;9;9;113.01.00;0;0;1;0;22;0;5;5;0;00.00;0;0;5;5;0;00.00;0;15.05;02.08;-4.06;Dropout
1;9238;1;1;137.00.00;1;1;9;9;129.03.00;0;1;0;1;21;0;6;8;6;13.875;0;0;6;7;6;14.142.857.142.857.100;0;16.02;00.03;-0.92;Graduate
1;9238;1;1;138.00.00;1;19;4;7;123.00.00;0;0;0;0;18;0;6;9;5;11.04;0;0;6;14;2;13.05;0;08.09;01.04;03.51;Dropout
1;9670;1;1;139.00.00;38;19;5;7;130.06.00;0;1;0;0;18;0;6;6;6;12.333.333.333.333.300;0;0;6;7;5;14.02;0;13.09;-0.3;0,054861111;Graduate
1;9500;1;1;136.00.00;19;38;9;9;119.03.00;0;1;0;1;18;0;8;8;7;13.214.285.714.285.700;0;0;8;8;7;13.214.285.714.285.700;0;12.07;03.07;-1.7;Graduate
1;9853;1;1;133.00.00;19;37;4;9;130.02.00;0;1;0;0;19;0;6;6;0;00.00;0;0;6;0;0;00.00;0;12.07;03.07;-1.7;Dropout
1;9254;1;42;110.00.00;1;1;4;7;111.08.00;0;1;0;1;21;0;6;7;6;10.571.428.571.428.500;0;0;6;8;5;11.00;0;08.09;01.04;03.51;Graduate
1;9085;1;1;149.00.00;38;37;5;5;137.01.00;0;1;0;1;18;0;5;7;4;13.25;0;0;5;5;5;12.00;0;10.08;01.04;0,093055556;Graduate
1;9773;1;1;127.00.00;19;37;9;3;120.07.00;0;1;0;0;20;0;6;6;5;13.02;0;0;6;7;0;00.00;0;15.05;02.08;-4.06;Dropout
1;9238;1;1;137.00.00;19;38;5;8;137.04.00;0;1;0;0;18;0;6;10;1;12.00;0;0;6;14;2;11.00;0;10.08;01.04;0,093055556;Enrolled
1;9500;1;1;135.00.00;19;1;5;4;127.03.00;0;1;0;0;18;0;7;8;7;1.330.625;0;0;8;8;8;14.545;0;15.05;02.08;-4.06;Graduate
1;9130;1;1;137.00.00;3;19;3;5;136.03.00;0;1;0;0;20;0;5;8;4;12.05;1;0;5;8;4;12.25;2;10.08;01.04;0,093055556;Graduate
1;9853;1;1;140.00.00;19;19;7;7;124.06.00;0;1;0;0;18;0;7;7;6;11.666.666.666.666.600;0;0;7;8;6;13.05;0;16.02;00.03;-0.92;Enrolled
1;171;1;1;122.00.00;1;1;9;8;120.03.00;0;1;0;1;21;0;0;0;0;00.00;0;0;0;0;0;00.00;0;11.01;00.06;02.02;Graduate
1;9556;1;1;127.00.00;1;38;4;7;121.08.00;0;1;0;0;20;0;7;14;7;114.375;0;0;8;9;8;11.425;0;12.07;03.07;-1.7;Enrolled
1;9500;1;1;142.00.00;19;19;1;1;125.05.00;0;1;0;0;18;0;8;12;7;12.857.142.857.142.800;0;0;8;12;7;12.857.142.857.142.800;0;12.07;03.07;-1.7;Graduate
1;9670;1;1;125.00.00;1;38;4;7;114.09.00;0;1;0;1;19;0;6;8;6;13.375;0;0;6;7;6;12.285.714.285.714.200;0;11.01;00.06;02.02;Graduate
1;9500;1;1;126.00.00;19;19;3;7;123.09.00;0;1;0;0;19;0;7;8;6;13.296.666.666.666.600;0;0;8;9;7;14.114.285.714.285.700;0;11.01;00.06;02.02;Graduate
1;9238;1;1;151.00.00;19;38;9;9;157.00.00;0;1;0;1;18;0;6;8;5;11.06;0;0;6;12;4;11.00;0;07.06;02.06;00.32;Enrolled
1;9238;1;1;115.00.00;19;38;7;8;116.04.00;0;1;0;0;21;0;6;9;6;11.375;0;0;6;9;6;13.285.714.285.714.200;0;16.02;00.03;-0.92;Graduate
1;9085;1;1;138.00.00;19;19;3;3;131.00.00;0;1;0;0;18;0;5;9;5;12.666.666.666.666.600;2;0;5;7;4;13.00;0;09.04;-0.8;-3.12;Enrolled
1;9147;1;1;135.00.00;19;1;9;9;122.01.00;0;1;0;0;20;0;5;6;5;12.00;0;0;5;6;5;12.333.333.333.333.300;0;16.02;00.03;-0.92;Graduate
1;9500;1;1;127.00.00;3;3;1;10;118.08.00;0;1;1;0;19;0;7;9;6;12.933.333.333.333.300;0;0;7;7;6;13.716.666.666.666.600;0;16.02;00.03;-0.92;Enrolled
1;9003;1;39;150.00.00;4;5;4;2;150.00.00;0;1;1;0;21;0;6;15;5;11.857.142.857.142.800;0;0;6;17;5;10.571.428.571.428.500;0;16.02;00.03;-0.92;Enrolled
1;9070;1;1;125.00.00;42;3;125;124;130.00.00;0;1;1;0;20;2;6;7;6;12.833.333.333.333.300;0;0;6;9;4;13.04;0;08.09;01.04;03.51;Graduate
1;9147;1;1;143.00.00;1;1;4;6;138.08.00;0;0;1;0;18;0;5;9;3;11.333.333.333.333.300;0;0;5;8;2;13.05;0;08.09;01.04;03.51;Enrolled
1;8014;0;1;138.00.00;19;1;9;5;134.05.00;0;1;0;0;19;0;6;6;6;12.666.666.666.666.600;0;0;6;8;6;14.375;0;12.04;00.05;0,096527778;Graduate
1;9991;0;1;130.00.00;2;37;3;9;131.04.00;0;1;1;0;34;0;5;6;5;12.04;0;0;5;9;5;13.428.571.428.571.400;0;13.09;-0.3;0,054861111;Graduate
1;33;1;1;130.00.00;38;37;9;6;102.05.00;0;0;1;0;37;0;7;7;0;00.00;0;0;7;7;1;10.00;0;08.09;01.04;03.51;Dropout
1;9119;1;10;133.01.00;34;37;0;0;128.08.00;0;1;1;0;43;0;5;0;0;00.00;0;0;5;0;0;00.00;0;07.06;02.06;00.32;Dropout
1;9147;1;1;140.00.00;37;37;6;6;122.09.00;0;1;0;0;55;0;5;10;1;10.00;0;0;5;8;2;12.00;2;16.02;00.03;-0.92;Dropout
4;9991;0;1;120.00.00;19;19;9;3;113.09.00;0;1;0;0;39;0;5;8;5;11.00;0;0;5;5;5;11.06;0;07.06;02.06;00.32;Graduate
1;9130;1;39;120.00.00;4;4;3;6;120.00.00;0;0;0;0;20;2;6;13;3;11.666.666.666.666.600;0;1;6;11;3;12.00;0;12.04;00.05;0,096527778;Dropout
1;9773;1;1;126.00.00;3;3;2;2;121.01.00;0;1;0;0;18;0;6;6;4;0,552083333;0;0;5;5;0;00.00;0;12.07;03.07;-1.7;Dropout
1;9147;1;1;133.00.00;3;19;2;7;120.04.00;0;1;0;0;22;0;5;5;5;14.08;0;0;5;5;5;15.08;0;08.09;01.04;03.51;Graduate
1;9500;1;1;103.00.00;1;3;2;2;100.06.00;1;1;0;0;22;0;7;9;5;13.928;0;0;8;9;7;14.342.857.142.857.100;0;11.01;00.06;02.02;Graduate
